"td","td 2","td 3","td 4","td 5","td 6","td 11","td 12","td href"
"1","FL6086","Tiếng Anh công nghệ thông tin cơ bản 2","5.0","2.67","0.00","36","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4925"
"2","FL6283","Tiếng Trung cơ bản 2","5.0","2.67","0.00","15","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6827"
"3","FL6288","Tiếng Hàn cơ bản 2","5.0","2.67","0.00","7","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6832"
"4","FL6293","Tiếng Nhật cơ bản 2","5.0","2.67","0.00","5","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6837"
"5","BS6022","Âm nhạc đại cương","2.0","2.00","0.00","0","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7205"
"6","BS6023","Nghệ thuật học đại cương","2.0","2.00","0.00","22","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7206"
"7","BS6024","Mỹ thuật đại cương","2.0","2.00","0.00","3","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7207"
"8","PE6002","Aerobic 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4812"
"9","PE6004","Bóng chuyền 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4814"
"10","PE6006","Bơi 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4816"
"11","PE6012","Karate 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4822"
"12","PE6014","Khiêu vũ 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4824"
"13","PE6016","Pencak Silat 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4826"
"14","PE6018","Bóng bàn 2","1.0","0.00","1.00","19","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6425"
"15","PE6022","Bóng rổ 2","1.0","0.00","1.00","3","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6432"
"16","PE6026","Cầu lông 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6441"
"17","PE6020","Tennis 2","1.0","0.00","1.00","4","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6446"
"18","PE6028","Bóng đá 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6550"
"19","PE6030","Đá cầu 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6552"
"20","PE6032","Cầu mây 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6554"
"21","PE6034","Bóng ném 2","1.0","0.00","1.00","14","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7069"
"22","PE6036","Futsal 2","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7071"
