"td","td 2","td 3","td 4","td 5","td 6","td 11","td href"
"1","FL6336","Tiếng Hàn 2","5.0","5.00","0.00","4","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7041"
"2","FL6338","Tiếng Nhật 2","5.0","5.00","0.00","5","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7043"
"3","FL6340","Tiếng Trung 2","5.0","5.00","0.00","7","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7045"
"4","FL6344","Tiếng Anh Công nghệ thông tin 2","5.0","5.00","0.00","30","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7049"
"5","IT6007","Cơ sở lập trình nhúng","3.0","2.00","1.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4767"
"6","IT6047","Học máy","3.0","3.00","0.00","4","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6751"
"7","IT6057","Phát triển ứng dụng thương mại điện tử","3.0","2.00","1.00","2","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6761"
"8","IT6070","An ninh mạng","3.0","2.00","1.00","5","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7169"
"9","IT6125","Thiết kế web nâng cao","3.0","2.00","1.00","2","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7338"
"10","IT6017","Lập trình .NET","3.0","2.00","1.00","2","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4777"
"11","IT6020","Lập trình Java nâng cao","3.0","2.00","1.00","6","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4780"
"12","IT6022","Lập trình web bằng PHP","3.0","2.00","1.00","6","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4782"
"13","IT6130","Lập trình Python cơ bản","3.0","2.00","1.00","2","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7474"
