"td","td 2","td 3","td 6","td 7","td 11","td href"
"1","IT6004","Công nghệ đa phương tiện","1.00","0.00","8","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4764"
"2","IT6021","Lập trình Web bằng ASP.NET","1.00","0.00","5","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4781"
"3","IT6028","Phát triển ứng dụng Game","1.00","0.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4788"
"4","IT6030","Phần mềm mã nguồn mở","1.00","0.00","1","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4790"
"5","IT6044","Ứng dụng thuật toán","1.00","0.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4804"
"6","IT6060","Lập trình hệ thống nhúng và Internet vạn vật","1.00","0.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6764"
"7","IT6061","Hệ quản trị doanh nghiệp điện tử","1.00","0.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6765"
"8","IT6077","Phân tích dữ liệu lớn","1.00","0.00","2","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7176"
"9","IT6080","Lập trình Web bằng Java","1.00","0.00","1","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7179"
"10","IT6085","Đảm bảo chất lượng phần mềm","0.00","1.00","8","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7184"
"11","IT6124","Lập trình PHP nâng cao","1.00","0.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7337"
"12","IT6127","Quản trị mạng trên hệ điều hành mã nguồn mở","1.00","0.00","0","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7340"
"13","IT6131","Lập trình Python nâng cao","1.00","0.00","1","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7475"
